reds レッズ
carmen カルメン
harvest 収穫
kashmir カシミール
theft 盗難
theft 窃盗
flames 炎上
wesley ウェズリー
pga pga
beats ビーツ
sterling スターリング
sonic ソニック
transparent 透明
dedication 献身
dedication 奉納
katherine キャサリン
nervous 緊張
excluding 除外
sunset 夕焼け
sunset 日没
reward 報酬
ally アライ
ally アリー
primitive プリミティブ
lopez ロペス
chronic 慢性
chronic 持病
donations 募金
donations 寄付
imaging イメージング
duet デュエット
intel intel
buddha ブッダ
buddha 仏陀
pig ブタ
whale クジラ
beaches ビーチ
attributes 属性
minerals 鉱物
frozen フローズン
fischer フィッシャー
gains 利得
dee ディー
peaceful 平和
typhoon 台風
hank ハンク
manually 手動
shortened 短縮
tram トラム
alignment アライメント
alignment 配置
ivory 象牙
traces トレース
constellation 星座
healing ヒーリング
frames フレーム
specification 仕様
risks リスク
viking バイキング
pottery 陶芸
pottery 陶器
bloody ブラッディ
eden エデン
peruvian ペルー
interference 干渉
candy キャンディ
candy キャンディー
bitter 苦い
bitter ビター
trends トレンド
individually 個別
funk ファンク
basque バスク
latvian ラトビア
pot ポット
paths パス
guarantee 保証
guarantee 保証書
guarantee 保障
intact 無傷
lacrosse ラクロス
raj ラジ
immigrant 移民
aus aus
blessed 祝福
servers サーバ
servers サーバー
rabbit ウサギ
rabbit うさぎ
phi ファイ
sectors セクター
powder 粉末
powder パウダー
mega メガ
mega mega
clips クリップ
vic ビック
summers サマーズ
detect 検知
detect 検出
precision 精度
conservatory 温室
sunshine サンシャイン
sunshine 日光
sunshine 日差し
flowering 開花
savings 貯蓄
savings 貯金
savings 節約
savings 預金
underwater 水中
mccarthy マッカーシー
screening 選考
screening スクリーニング
phenomena 現象
liver レバー
liver 肝臓
benedict ベネディクト
hollow 中空
mob 暴徒
mob モブ
emi emi
emi えみ
brett ブレット
alert アラート
seventeen seventeen
reunion 再会
collision 衝突
lighter ライター
filling 中身
willis ウィリス
vowel 母音
drainage 排水
lambert ランバート
seth セス
kai kai
kai カイ
wow wow
noun 名詞
factories 工場
valentine バレンタイン
plasma プラズマ
virtue 美徳
bryant ブライアント
carnival カーニバル
notices 通知
bates ベイツ
ballad バラード
ballad バラッド
dairy 酪農
kolkata コルカタ
momentum 勢い
peerage 爵位
ricardo リカルド
blame 責め
gaza ガザ
hal hal
dealer ディーラー
neal ニール
frost フロスト
bugs バグ
fuller フラー
shannon シャノン
watershed 流域
extant 現存
lanes 車線
pupil 生徒
pupil 瞳孔
limitations 制限
lovers 恋人
intentions 意図
comply 従う
securities 証券
prohibition 禁酒
prohibition 禁止
acute 急性
container 容器
container コンテナ
notation 表記
omar オマール
taipei 台北
dining ダイニング
survivor サバイバー
corpus コーパス
shaft シャフト
nicole ニコル
marker マーカー
locals 地元
dont dont
pour 注ぐ
suspicious 不審
expense 費用
expense 経費
prosecution 訴追
noah ノア
tender テンダー
tender 柔らかい
dudley ダドリー
barrett バレット
fathers 父親
pas pas
colts コルツ
denomination 名称
compression 圧縮
micro マイクロ
sovereignty 主権
brady ブレイディ
breach 違反
behavioral 行動
monasteries 僧院
rope ロープ
spare スペア
cache キャッシュ
duplicate 重複
duplicate 複製
notorious 汚名
ronnie ロニー
odds 確率
andre アンドレ
mos mos
maternal 母方
steal 盗む
identifies 識別
pension 年金
scenario シナリオ
specimen 標本
specimen 見本
dolphins イルカ
metals 金属
oceania オセアニア
lightweight ライトウェイト
processor プロセッサ
somalia ソマリア
switching スイッチング
switching 切り替え
descended 降臨
pyramid ピラミッド
eps eps
nina ニーナ
val ヴァル
cooling 冷却
dash ダッシュ
rita リタ
timing タイミング
peters ピーターズ
stalin スターリン
presumed 推定
mayer メイヤー
beaver ビーバー
spike スパイク
apps アプリ
cal カル
hassan ハッサン
dundee ダンディー
translate 翻訳
flesh 肉体
medalist メダリスト
pistol ピストル
mikhail ミハイル
expired 失効
travis トラヴィス
distances 距離
cow カウ
accommodation 宿泊
textile 繊維
textile 織物
clarification 釈明
qualities 資質
marching 行軍
marx マルクス
usd usd
diane ダイアン
specify 指定
fritz フリッツ
doyle ドイル
statues 彫像
sheikh シャイフ
cafe カフェ
orphan 孤児
monaco モナコ
sen セン
illustrator イラストレーター
celebrations お祝い
strain 変形
pronunciation 発音
disco ディスコ
talented 才能
forestry 林業
forestry 農林
exam 試験
advantages 利点
advantages 長所
mood 気分
mood ムード
wheeler ウィーラー
karachi カラチ
beth ベス
swimmer 競泳
swimmer 水泳
tunnels トンネル
wagon ワゴン
offshore オフショア
darren ダレン
gerard ジェラード
consul 領事
excuse 言い訳
salon サロン
trigger 引き金
trigger トリガー
pipes パイプ
atoms 原子
invisible 不可視
ibrahim イブラヒム
inception インセプション
werner ヴェルナー
gifts ギフト
livestock 家畜
confirmation 確認
volcano 火山
jupiter ジュピター
jupiter 木星
taxi タクシー
refuse 拒否
detention 拘禁
detention 勾留
detention 留置
detention 収容
scripts スクリプト
iris アイリス
elvis エルビス
mel メル
lorraine ロレーヌ
fabric 布地
fabric 生地
fabric 織物
shin シン
starter スターター
clip クリップ
villain 悪役
immune 免疫
bologna ボローニャ
flexible フレキシブル
samoa サモア
tai タイ
gamma ガンマ
cherokee チェロキー
homeless ホームレス
triumph トライアンフ
consortium コンソーシアム
effectiveness 実効
advocated 提唱
souls 霊魂
retire 引退
dissolution 解散
unemployment 失業
malay マレー
dana ダナ
clarinet クラリネット
sodium ナトリウム
crow カラス
crow クロウ
columnist コラムニスト
quantities 数量
pseudonym 偽名
eclipse eclipse
organs 臓器
organs 機関
countryside 田舎
angelo アンジェロ
dir dir
regina レジーナ
rectangular 長方形
transfers 転送
yacht ヨット
secondly 次に
algorithms アルゴリズム
nassau ナッソー
sánchez サンチェス
bart バート
genius 天才
punch パンチ
specialty 特製
continuation 続行
continuation 続き
continuation 継続
remedy 救済
comfort 慰め
branded 烙印
shooter シューティング
lotus ハス
lotus ロータス
dwarf ドワーフ
dwarf 小人
knox ノックス
terrace テラス
terrace 棚田
tri tri
sandstone 砂岩
renault ルノー
fleming フレミング
judy ジュディ
happiness ハピネス
happiness 幸福
happiness 幸せ
warehouse 倉庫
miracle ミラクル
miracle 奇跡
leisure レジャー
leisure 余暇
kindergarten 幼稚園
synthetic 合成
sage セージ
adviser 顧問
adviser アドバイザー
trim 整える
trim トリム
irregular 不規則
atom 原子
normandy ノルマンディー
financing 融資
passive パッシブ
shiva シヴァ
breakdown 内訳
badminton バドミントン
fiber 繊維
mice マウス
wage 賃金
loving 愛する
loving あつい
worried 心配
gambling ギャンブル
gambling 賭博
basel バーゼル
randolph ランドルフ
mothers 母親
auditorium 講堂
descendant 子孫
damages ダメージ
eleanor エレノア
calvin カルヴィン
dover ドーバー
mafia マフィア
deny 拒否
deny 否定
shapes 形状
shapes シェイプ
essence エッセンス
essence 本質
emotions 感情
myers マイヤーズ
saturn 土星
domains ドメイン
hanover ハノーバー
mets メッツ
sketches スケッチ
sponsorship スポンサー
bmw bmw
uncommon 珍しい
aria アーリア
aria アリア
miranda ミランダ
dodge ダッジ
plug プラグ
spreading 広がる
puzzle パズル
diamonds ダイヤモンド
roses 薔薇
roses バラ
competitor 競合
rides 配車
levy レヴィ
jules ジュール
accusation 告発
rendering レンダリング
progression progression
pursuing 追及
primera プリメーラ
polls アンケート
cope コープ
beds ベッド
howe ハウ
calcutta コルカタ
desperate 必死
uniforms ユニフォーム
tips tips
tips ヒント
conclusions 結論
destiny 運命
reporters リポーター
daytime 昼間
aurora オーロラ
goodbye さようなら
coordinate 座標
steering ステアリング
pepper ペッパー
pepper 胡椒
pepper コショウ
drunk 酔っぱらい
scouting ボーイスカウト
swim 泳ぐ
swim 水泳
swim 泳ぎ
persecution 迫害
expenses 費用
expenses 経費
agnes アグネス
query 問い合わせ
accomplishments 実績
pérez ペレス
fool フール
brave ブレイブ
brave 勇者
brave 勇敢
mozart モーツァルト
gil ギル
dirt ダート
noel ノエル
inventory 在庫
inventory 棚卸
ethiopian エチオピア
meanings 意味
rgb rgb
imagination イマジネーション
imagination 想像
barber 床屋
slogan スローガン
reich ライヒ
amusement アミューズメント
amusement 娯楽
drops ドロップ
demolition 解体
hague ハーグ
bronx ブロンクス
ancestor 先祖
fence フェンス
turin トリノ
crush クラッシュ
algerian アルジェリア
exploring 探検
reunited 再会
wii wii
cone 円錐
cone コーン
continuity 連続
verification 検証
verification 認証
owl フクロウ
owl ふくろう
namibia ナミビア
pratt プラット
tate テイト
romeo ロミオ
romeo ロメオ
regulated 規制
lonely 孤独
lonely 寂しい
shire シャイア
newsletter 会報
ink インク
dwight ドワイト
menu メニュー
pointless 無意味
declare 申告
declare 宣言
privileges 特権
commercials コマーシャル
faithful 忠実
knock ノック
lamb 子羊
lamb ラム
hesse ヘッセン
logistics 物流
dub ダブ
apache apache
antenna アンテナ
fin フィン
advise 助言
trump 切り札
kidnapped 誘拐
turtle カメ
greenwich グリニッジ
cake ケーキ
hobart ホバート
pulse パルス
pulse 脈拍
kyoto 京都
honestly 正直
ninja 忍者
ninja ニンジャ
transcription 転写
curse 呪い
cycles サイクル
node ノード
habit 習慣
viewer ビューア
shields シールド
analyst アナリスト
interval 間隔
interval 音程
interval インターバル
interval 区間
oath 宣誓
filing ファイリング
generator ジェネレータ
bahrain バーレーン
twist ひねり
twist ツイスト
griffith グリフィス
aston アストン
bacon ベーコン
bury 埋める
premium プレミアム
mayo マヨ
colleague 同僚
curves カーブ
curves 曲線
fraternity 友愛
jacobs ジェイコブス
hire 雇う
isolation 隔離
isolation 孤立
raven レイヴン
dig ディグ
dig 掘る
patents 特許
holt ホルト
sonata ソナタ
hemisphere 半球
slang 俗語
slang スラング
thrust 推力
trout マス
panic パニック
aaa aaa
teresa テレサ
advancement 振興
hunger 飢え
hunger 空腹
laurent ローラン
resign 辞任
splitting 分割
courtesy 礼儀
subscription 購読
perspectives 視点
pasha パシャ
amber 琥珀
amber アンバー
dayton デイトン
revelation 啓示
designing デザイン
overtime 残業
functionality 機能
pts pts
shocked ショック
shocked 衝撃
autonomy 自治
magnus マグナス
inflation インフレーション
passport パスポート
passport 旅券
interpretations 解釈
baba ババ
baba 馬場
viral バイラル
tab タブ
inscriptions 碑文
motivation モチベーション
yoga ヨガ
marvin マーヴィン
laurel ローレル
overhead 頭上
balloon 風船
balloon 気球
sponsors スポンサー
ivy ツタ
ivy アイビー
screw スクリュー
screw ねじ
screw ネジ
accreditation 認定
rats ネズミ
mali マリ
baku バクー
installations インストール
payne ペイン
mod mod
projection 投影
ferrari フェラーリ
sands サンズ
subtle 微妙
basket バスケット
basket かご
moroccan モロッコ
fisheries 漁業
silicon シリコン
silicon ケイ素
rage レイジ
aliens エイリアン
uranium ウラン
zambia ザンビア
employ 雇う
isabella イサベル
marriages 結婚
amino 網野
accent アクセント
robots ロボット
slate スレート
parachute パラシュート
lauren ローレン
belarusian ベラルーシ
clearance クリアランス
crimson クリムゾン
meal 食事
islander 島民
medley メドレー
porn ポルノ
remnants 残党
vegetables 野菜
laos ラオス
tense 緊張
tense 時制
ant アリ
hectares ヘクタール
curling カーリング
fits 合う
inning イニング
fury 激怒
fury フューリー
confident 自信
suzuki スズキ
suzuki 鈴木
olivier オリヴィエ
halt 停止
chronology 沿革
scrapped 廃車
chandler チャンドラー
spur 拍車
landscapes 景色
landscapes 風景
commissions コミッション
databases データベース
approximate おおよそ
inheritance 相続
inheritance 継承
ugly 醜い
fraction 分数
transaction 取引
transaction トランザクション
decay 崩壊
decay 減衰
lineage 系統
guam グアム
fencing フェンシング
mir ミール
electrons 電子
avant avant
turbine タービン
install インストール
outlet コンセント
vince ビンス
vince ヴィンス
mint ミント
katie ケイティ
ign ign
wheelchair 車椅子
wheelchair 車いす
slip スリップ
gore ゴア
herb ハーブ
rep rep
crescent 三日月
syntax 構文
genome ゲノム
railroads 鉄道
sonny ソニー
sheets シート
sheets シーツ
suspicion 疑惑
suspicion 断崖
molecule 分子
tonnes トン
preferences 設定
cds cd
tricks トリック
partnerships パートナーシップ
salvation 救済
guaranteed 保証
swamp 沼地
beneficial 有益
annexed 併合
gym ジム
squares 正方形
ads 広告
revenues 収益
revenues 歳入
müller ミュラー
bremen ブレーメン
licenses ライセンス
cultivation 栽培
ingredients 材料
ingredients 食材
ingredients 成分
benny ベニー
racer レーサー
beef ビーフ
beef 牛肉
password パスワード
modules モジュール
comeback カムバック
precious 尊い
precious precious
precious 貴重
apologize 謝る
apologize 謝罪
moist しっとり
aging 老化
garrett ギャレット
dinosaur 恐竜
emblem エンブレム
plague 疫病
plague ペスト
wan wan
pie パイ
spiral スパイラル
spiral 渦巻
marcos マルコス
cement セメント
refugee 難民
madame マダム
ieee ieee
donation 募金
donation 寄付
café カフェ
correction 修正
correction 補正
correction 訂正
brooke ブルック
extensions 拡張
cube 立方体
cube キューブ
goa ゴア
vacation 休暇
vacation バカンス
vacation バケーション
maggie マギー
boots ブーツ
luna ルナ
flint フリント
skeleton スケルトン
skeleton 骨格
lawn 芝生
école エコール
mai マイ
einstein アインシュタイン
gould グールド
crosby クロスビー
niagara ナイアガラ
demons 悪霊
treatments トリートメント
vintage ビンテージ
perkins パーキンス
gdp gdp
stereo ステレオ
troubles トラブル
troubles 悩み
tina ティナ
resume 再開
unlimited 無制限
footnote 脚注
molly モリー
robbie ロビー
attitudes 態度
thoroughbred サラブレッド
boost 宣伝
neighbors 近所
portrayal 描写
rim リム
abundant 豊富
wendy ウェンディ
gran グラン
feud 確執
jockey 騎手
jockey ジョッキー
breathing 呼吸
doll 人形
oaks オークス
umbrella アンブレラ
elliot エリオット
campuses キャンパス
rotating 回転
angles アングル
tolerance 許容
tolerance 寛容
berg ベルク
paula ポーラ
sink 流し
sink シンク
hiking ハイキング
refusal 拒否
refusal 拒絶
rama ラーマ
violet バイオレット
wordpress wordpress
abbreviation 略称
gentleman 紳士
piper パイパー
